,job_title,job_company,job_location,job_seniority,job_category,job_employment_type,job_salary_range_from,job_salary_range_to,job_salary_type,job_details_url,job_description,job_requirements
0,Research Assistant - LKYSPP,Company Undisclosed,Central,Professional,Others,Full Time,"$2,500","$4,850",Monthly,https://www.mycareersfuture.sg/job/research-assistant-lkyspp-13ee1d7cf62126dd70ef7eeb453380b9,,
0,FAC - GLOBAL FACILITIES SENIOR DATA SCIENTIST,Company Undisclosed,North,Non-executive,Engineering ...,Full Time,"$5,000","$10,000",Monthly,https://www.mycareersfuture.sg/job/fac-global-facilities-senior-data-scientist-b5e6fd8d57317dda73f2b0907d3e1b39,,
0,Facilities Data Scientist,Company Undisclosed,North,Junior Executive,Engineering ...,Permanent ...,"$3,400","$6,000",Monthly,https://www.mycareersfuture.sg/job/facilities-data-scientist-4979c816065ff21c55c4108029aa068c,,
0,Data Scientist,Company Undisclosed,North,Non-executive,Engineering ...,Permanent ...,"$5,000","$10,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-7ac07a1ddefce18235935c62ee38a937,,
0,Data Scientist,Company Undisclosed,North,Non-executive,Engineering ...,Full Time,"$3,400","$6,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-8618878cc6f9858b4da69089faa06eb2,,
0,MCT Big Data Senior Engineer,Company Undisclosed,North,Non-executive,Engineering ...,Permanent ...,"$5,000","$10,000",Monthly,https://www.mycareersfuture.sg/job/mct-big-data-senior-engineer-a6442261f905654e89c7c81a0633461f,,
0,MCT Big Data Engineer,Company Undisclosed,North,Non-executive,Engineering ...,Permanent ...,"$3,400","$6,800",Monthly,https://www.mycareersfuture.sg/job/mct-big-data-engineer-d7f534d77330aac893279fc384dca2bd,,
0,MCT FE QE Technician,Company Undisclosed,North,Non-executive,Engineering ...,Permanent ...,"$2,150","$4,300",Monthly,https://www.mycareersfuture.sg/job/mct-fe-qe-technician-a37a66eb6379172c7bc8ae0fcd4ce57b,,
0,Process Control System-Fault Detection and Classification (FDC) Engineer,Company Undisclosed,North,Non-executive,Engineering ...,Full Time,"$3,400","$6,000",Monthly,https://www.mycareersfuture.sg/job/process-control-system-fault-detection-classification-engineer-7a7bbeef275d343ac9bb3e962433b8eb,,
0,Yield Enhancement Engineer,Company Undisclosed,North,Non-executive,Engineering ...,Full Time,"$3,400","$6,000",Monthly,https://www.mycareersfuture.sg/job/yield-enhancement-engineer-2d992d04b6448020a5b466ed244190d0,,
